Datetime,CMSA-GAWW-22 Kloveniersburgwal
2021-04-10 00:00:00,57
2021-04-10 00:15:00,57
2021-04-10 00:30:00,43
2021-04-10 00:45:00,33
2021-04-10 01:00:00,38
2021-04-10 01:15:00,27
2021-04-10 01:30:00,27
2021-04-10 01:45:00,20
2021-04-10 02:00:00,17
2021-04-10 02:15:00,16
2021-04-10 02:30:00,23
2021-04-10 02:45:00,14
2021-04-10 03:00:00,22
2021-04-10 03:15:00,17
2021-04-10 03:30:00,23
2021-04-10 03:45:00,21
2021-04-10 04:00:00,11
2021-04-10 04:15:00,19
2021-04-10 04:30:00,18
2021-04-10 04:45:00,25
2021-04-10 05:00:00,15
2021-04-10 05:15:00,16
2021-04-10 05:30:00,17
2021-04-10 05:45:00,16
2021-04-10 06:00:00,15
2021-04-10 06:15:00,18
2021-04-10 06:30:00,17
2021-04-10 06:45:00,24
2021-04-10 07:00:00,28
2021-04-10 07:15:00,29
2021-04-10 07:30:00,33
2021-04-10 07:45:00,47
2021-04-10 08:00:00,58
2021-04-10 08:15:00,73
2021-04-10 08:30:00,106
2021-04-10 08:45:00,150
2021-04-10 09:00:00,103
2021-04-10 09:15:00,110
2021-04-10 09:30:00,123
2021-04-10 09:45:00,102
2021-04-10 10:00:00,112
2021-04-10 10:15:00,131
2021-04-10 10:30:00,118
2021-04-10 10:45:00,131
2021-04-10 11:00:00,198
2021-04-10 11:15:00,120
2021-04-10 11:30:00,181
2021-04-10 11:45:00,208
2021-04-10 12:00:00,173
2021-04-10 12:15:00,189
2021-04-10 12:30:00,194
2021-04-10 12:45:00,267
2021-04-10 13:00:00,229
2021-04-10 13:15:00,222
2021-04-10 13:30:00,268
2021-04-10 13:45:00,217
2021-04-10 14:00:00,260
2021-04-10 14:15:00,244
2021-04-10 14:30:00,283
2021-04-10 14:45:00,349
2021-04-10 15:00:00,272
2021-04-10 15:15:00,224
2021-04-10 15:30:00,233
2021-04-10 15:45:00,209
2021-04-10 16:00:00,257
2021-04-10 16:15:00,253
2021-04-10 16:30:00,226
2021-04-10 16:45:00,287
2021-04-10 17:00:00,231
2021-04-10 17:15:00,220
2021-04-10 17:30:00,277
2021-04-10 17:45:00,305
2021-04-10 18:00:00,285
2021-04-10 18:15:00,212
2021-04-10 18:30:00,185
2021-04-10 18:45:00,205
2021-04-10 19:00:00,172
2021-04-10 19:15:00,165
2021-04-10 19:30:00,150
2021-04-10 19:45:00,191
2021-04-10 20:00:00,183
2021-04-10 20:15:00,186
2021-04-10 20:30:00,159
2021-04-10 20:45:00,138
2021-04-10 21:00:00,155
2021-04-10 21:15:00,182
2021-04-10 21:30:00,151
2021-04-10 21:45:00,163
2021-04-10 22:00:00,141
2021-04-10 22:15:00,92
2021-04-10 22:30:00,104
2021-04-10 22:45:00,68
2021-04-10 23:00:00,107
2021-04-10 23:15:00,66
2021-04-10 23:30:00,86
2021-04-10 23:45:00,44
2021-05-10 00:00:00,85
2021-05-10 00:15:00,69
2021-05-10 00:30:00,35
2021-05-10 00:45:00,31
2021-05-10 01:00:00,30
2021-05-10 01:15:00,20
2021-05-10 01:30:00,22
2021-05-10 01:45:00,26
2021-05-10 02:00:00,20
2021-05-10 02:15:00,23
2021-05-10 02:30:00,15
2021-05-10 02:45:00,22
2021-05-10 03:00:00,12
2021-05-10 03:15:00,24
2021-05-10 03:30:00,13
2021-05-10 03:45:00,13
2021-05-10 04:00:00,15
2021-05-10 04:15:00,14
2021-05-10 04:30:00,16
2021-05-10 04:45:00,14
2021-05-10 05:00:00,19
2021-05-10 05:15:00,18
2021-05-10 05:30:00,16
2021-05-10 05:45:00,15
2021-05-10 06:00:00,24
2021-05-10 06:15:00,18
2021-05-10 06:30:00,28
2021-05-10 06:45:00,24
2021-05-10 07:00:00,27
2021-05-10 07:15:00,24
2021-05-10 07:30:00,42
2021-05-10 07:45:00,64
2021-05-10 08:00:00,82
2021-05-10 08:15:00,87
2021-05-10 08:30:00,168
2021-05-10 08:45:00,173
2021-05-10 09:00:00,117
2021-05-10 09:15:00,107
2021-05-10 09:30:00,146
2021-05-10 09:45:00,124
2021-05-10 10:00:00,80
2021-05-10 10:15:00,106
2021-05-10 10:30:00,150
2021-05-10 10:45:00,210
2021-05-10 11:00:00,157
2021-05-10 11:15:00,279
2021-05-10 11:30:00,195
2021-05-10 11:45:00,239
2021-05-10 12:00:00,197
2021-05-10 12:15:00,226
2021-05-10 12:30:00,338
2021-05-10 12:45:00,247
2021-05-10 13:00:00,255
2021-05-10 13:15:00,236
2021-05-10 13:30:00,259
2021-05-10 13:45:00,161
2021-05-10 14:00:00,144
2021-05-10 14:15:00,157
2021-05-10 14:30:00,99
