;stop_name;date;hour;datetime;checkin;checkout
0;Dam;2020-09-01;0;2020-09-01 00:00:00;12.0;
1;Dam;2020-09-01;1;2020-09-01 01:00:00;54.0;
2;Dam;2020-09-01;2;2020-09-01 02:00:00;55.0;
7039;Dam;2020-09-01;6;2020-09-01 06:00:00;54.0;
7040;Dam;2020-09-01;7;2020-09-01 07:00:00;174.0;
3;Dam;2020-09-01;8;2020-09-01 08:00:00;325.0;
4;Dam;2020-09-01;9;2020-09-01 09:00:00;1124.0;
5;Dam;2020-09-01;10;2020-09-01 10:00:00;991.0;
6;Dam;2020-09-01;11;2020-09-01 11:00:00;623.0;
7;Dam;2020-09-01;12;2020-09-01 12:00:00;552.0;
8;Dam;2020-09-01;13;2020-09-01 13:00:00;475.0;
9;Dam;2020-09-01;14;2020-09-01 14:00:00;317.0;
10;Dam;2020-09-01;15;2020-09-01 15:00:00;201.0;
11;Dam;2020-09-01;16;2020-09-01 16:00:00;112.0;
12;Dam;2020-09-01;17;2020-09-01 17:00:00;41.0;
13;Dam;2020-09-01;18;2020-09-01 18:00:00;11.0;
14;Dam;2020-09-01;19;2020-09-01 19:00:00;36.0;
15;Dam;2020-09-01;20;2020-09-01 20:00:00;52.0;
16;Dam;2020-09-01;21;2020-09-01 21:00:00;45.0;
17;Dam;2020-09-01;22;2020-09-01 22:00:00;46.0;
18;Dam;2020-09-01;23;2020-09-01 23:00:00;123.0;
19;Dam;2020-09-02;0;2020-09-02 00:00:00;187.0;
20;Dam;2020-09-02;1;2020-09-02 01:00:00;459.0;
21;Dam;2020-09-02;2;2020-09-02 02:00:00;1357.0;
7041;Dam;2020-09-02;6;2020-09-02 06:00:00;1055.0;
7042;Dam;2020-09-02;7;2020-09-02 07:00:00;851.0;
22;Dam;2020-09-02;8;2020-09-02 08:00:00;731.0;
23;Dam;2020-09-02;9;2020-09-02 09:00:00;558.0;
24;Dam;2020-09-02;10;2020-09-02 10:00:00;345.0;
25;Dam;2020-09-02;11;2020-09-02 11:00:00;237.0;
26;Dam;2020-09-02;12;2020-09-02 12:00:00;120.0;
27;Dam;2020-09-02;13;2020-09-02 13:00:00;59.0;
28;Dam;2020-09-02;14;2020-09-02 14:00:00;10.0;
29;Dam;2020-09-02;15;2020-09-02 15:00:00;9.0;
30;Dam;2020-09-02;16;2020-09-02 16:00:00;18.0;
31;Dam;2020-09-02;17;2020-09-02 17:00:00;52.0;
32;Dam;2020-09-02;18;2020-09-02 18:00:00;40.0;
33;Dam;2020-09-02;19;2020-09-02 19:00:00;82.0;
34;Dam;2020-09-02;20;2020-09-02 20:00:00;129.0;
35;Dam;2020-09-02;21;2020-09-02 21:00:00;182.0;
36;Dam;2020-09-02;22;2020-09-02 22:00:00;369.0;
37;Dam;2020-09-02;23;2020-09-02 23:00:00;928.0;
38;Dam;2020-09-03;0;2020-09-03 00:00:00;832.0;
39;Dam;2020-09-03;1;2020-09-03 01:00:00;756.0;
40;Dam;2020-09-03;2;2020-09-03 02:00:00;634.0;
7043;Dam;2020-09-03;6;2020-09-03 06:00:00;410.0;
7044;Dam;2020-09-03;7;2020-09-03 07:00:00;377.0;
41;Dam;2020-09-03;8;2020-09-03 08:00:00;257.0;
42;Dam;2020-09-03;9;2020-09-03 09:00:00;120.0;
43;Dam;2020-09-03;10;2020-09-03 10:00:00;69.0;
44;Dam;2020-09-03;11;2020-09-03 11:00:00;41.0;
45;Dam;2020-09-03;12;2020-09-03 12:00:00;11.0;
46;Dam;2020-09-03;13;2020-09-03 13:00:00;13.0;
47;Dam;2020-09-03;14;2020-09-03 14:00:00;21.0;
48;Dam;2020-09-03;15;2020-09-03 15:00:00;32.0;
49;Dam;2020-09-03;16;2020-09-03 16:00:00;50.0;
50;Dam;2020-09-03;17;2020-09-03 17:00:00;78.0;
51;Dam;2020-09-03;18;2020-09-03 18:00:00;184.0;
52;Dam;2020-09-03;19;2020-09-03 19:00:00;348.0;
53;Dam;2020-09-03;20;2020-09-03 20:00:00;927.0;
54;Dam;2020-09-03;21;2020-09-03 21:00:00;659.0;
55;Dam;2020-09-03;22;2020-09-03 22:00:00;573.0;
56;Dam;2020-09-03;23;2020-09-03 23:00:00;524.0;
57;Dam;2020-09-04;0;2020-09-04 00:00:00;318.0;
58;Dam;2020-09-04;1;2020-09-04 01:00:00;392.0;
59;Dam;2020-09-04;2;2020-09-04 02:00:00;230.0;
60;Dam;2020-09-04;3;2020-09-04 03:00:00;113.0;
7045;Dam;2020-09-04;6;2020-09-04 06:00:00;68.0;
61;Dam;2020-09-04;7;2020-09-04 07:00:00;59.0;
62;Dam;2020-09-04;8;2020-09-04 08:00:00;10.0;
63;Dam;2020-09-04;9;2020-09-04 09:00:00;30.0;
64;Dam;2020-09-04;10;2020-09-04 10:00:00;40.0;
65;Dam;2020-09-04;11;2020-09-04 11:00:00;33.0;
66;Dam;2020-09-04;12;2020-09-04 12:00:00;98.0;
67;Dam;2020-09-04;13;2020-09-04 13:00:00;141.0;
68;Dam;2020-09-04;14;2020-09-04 14:00:00;290.0;
69;Dam;2020-09-04;15;2020-09-04 15:00:00;857.0;
70;Dam;2020-09-04;16;2020-09-04 16:00:00;757.0;
71;Dam;2020-09-04;17;2020-09-04 17:00:00;564.0;
72;Dam;2020-09-04;18;2020-09-04 18:00:00;486.0;
73;Dam;2020-09-04;19;2020-09-04 19:00:00;402.0;
74;Dam;2020-09-04;20;2020-09-04 20:00:00;271.0;
75;Dam;2020-09-04;21;2020-09-04 21:00:00;232.0;
76;Dam;2020-09-04;22;2020-09-04 22:00:00;165.0;
77;Dam;2020-09-04;23;2020-09-04 23:00:00;57.0;
78;Dam;2020-09-05;0;2020-09-05 00:00:00;40.0;
79;Dam;2020-09-05;1;2020-09-05 01:00:00;10.0;
80;Dam;2020-09-05;2;2020-09-05 02:00:00;18.0;
81;Dam;2020-09-05;3;2020-09-05 03:00:00;23.0;
82;Dam;2020-09-05;4;2020-09-05 04:00:00;58.0;
7046;Dam;2020-09-05;6;2020-09-05 06:00:00;76.0;
7047;Dam;2020-09-05;7;2020-09-05 07:00:00;130.0;
83;Dam;2020-09-05;8;2020-09-05 08:00:00;303.0;
84;Dam;2020-09-05;9;2020-09-05 09:00:00;898.0;
85;Dam;2020-09-05;10;2020-09-05 10:00:00;782.0;
86;Dam;2020-09-05;11;2020-09-05 11:00:00;574.0;
87;Dam;2020-09-05;12;2020-09-05 12:00:00;538.0;
88;Dam;2020-09-05;13;2020-09-05 13:00:00;428.0;
89;Dam;2020-09-05;14;2020-09-05 14:00:00;308.0;
90;Dam;2020-09-05;15;2020-09-05 15:00:00;138.0;
91;Dam;2020-09-05;16;2020-09-05 16:00:00;122.0;
92;Dam;2020-09-05;17;2020-09-05 17:00:00;83.0;
93;Dam;2020-09-05;18;2020-09-05 18:00:00;53.0;
94;Dam;2020-09-05;19;2020-09-05 19:00:00;30.0;
95;Dam;2020-09-05;20;2020-09-05 20:00:00;20.0;
96;Dam;2020-09-05;21;2020-09-05 21:00:00;34.0;
97;Dam;2020-09-05;22;2020-09-05 22:00:00;65.0;
98;Dam;2020-09-05;23;2020-09-05 23:00:00;79.0;
99;Dam;2020-09-06;0;2020-09-06 00:00:00;188.0;
100;Dam;2020-09-06;1;2020-09-06 01:00:00;315.0;
101;Dam;2020-09-06;2;2020-09-06 02:00:00;773.0;
102;Dam;2020-09-06;3;2020-09-06 03:00:00;791.0;
103;Dam;2020-09-06;4;2020-09-06 04:00:00;528.0;
104;Dam;2020-09-06;5;2020-09-06 05:00:00;447.0;
7048;Dam;2020-09-06;6;2020-09-06 06:00:00;331.0;
7049;Dam;2020-09-06;8;2020-09-06 08:00:00;253.0;
105;Dam;2020-09-06;9;2020-09-06 09:00:00;143.0;
106;Dam;2020-09-06;10;2020-09-06 10:00:00;91.0;
107;Dam;2020-09-06;11;2020-09-06 11:00:00;64.0;
108;Dam;2020-09-06;12;2020-09-06 12:00:00;51.0;
109;Dam;2020-09-06;13;2020-09-06 13:00:00;39.0;
110;Dam;2020-09-06;14;2020-09-06 14:00:00;10.0;
111;Dam;2020-09-06;15;2020-09-06 15:00:00;36.0;
112;Dam;2020-09-06;16;2020-09-06 16:00:00;45.0;
113;Dam;2020-09-06;17;2020-09-06 17:00:00;84.0;
114;Dam;2020-09-06;18;2020-09-06 18:00:00;131.0;
115;Dam;2020-09-06;19;2020-09-06 19:00:00;334.0;
116;Dam;2020-09-06;20;2020-09-06 20:00:00;977.0;
117;Dam;2020-09-06;21;2020-09-06 21:00:00;941.0;
118;Dam;2020-09-06;22;2020-09-06 22:00:00;908.0;
119;Dam;2020-09-06;23;2020-09-06 23:00:00;679.0;
120;Dam;2020-09-07;0;2020-09-07 00:00:00;360.0;
121;Dam;2020-09-07;1;2020-09-07 01:00:00;246.0;
122;Dam;2020-09-07;2;2020-09-07 02:00:00;151.0;
123;Dam;2020-09-07;3;2020-09-07 03:00:00;76.0;
7050;Dam;2020-09-07;6;2020-09-07 06:00:00;56.0;
124;Dam;2020-09-07;7;2020-09-07 07:00:00;17.0;
125;Dam;2020-09-07;8;2020-09-07 08:00:00;27.0;
126;Dam;2020-09-07;9;2020-09-07 09:00:00;51.0;
127;Dam;2020-09-07;10;2020-09-07 10:00:00;74.0;
128;Dam;2020-09-07;11;2020-09-07 11:00:00;153.0;
129;Dam;2020-09-07;12;2020-09-07 12:00:00;161.0;
130;Dam;2020-09-07;13;2020-09-07 13:00:00;404.0;
131;Dam;2020-09-07;14;2020-09-07 14:00:00;1362.0;
132;Dam;2020-09-07;15;2020-09-07 15:00:00;1056.0;
133;Dam;2020-09-07;16;2020-09-07 16:00:00;1034.0;
134;Dam;2020-09-07;17;2020-09-07 17:00:00;758.0;
135;Dam;2020-09-07;18;2020-09-07 18:00:00;484.0;
136;Dam;2020-09-07;19;2020-09-07 19:00:00;362.0;
137;Dam;2020-09-07;20;2020-09-07 20:00:00;214.0;
138;Dam;2020-09-07;21;2020-09-07 21:00:00;97.0;
139;Dam;2020-09-07;22;2020-09-07 22:00:00;46.0;
140;Dam;2020-09-07;23;2020-09-07 23:00:00;12.0;
141;Dam;2020-09-08;0;2020-09-08 00:00:00;35.0;
142;Dam;2020-09-08;1;2020-09-08 01:00:00;41.0;
143;Dam;2020-09-08;2;2020-09-08 02:00:00;45.0;
144;Dam;2020-09-08;3;2020-09-08 03:00:00;39.0;
7051;Dam;2020-09-08;6;2020-09-08 06:00:00;93.0;
7052;Dam;2020-09-08;7;2020-09-08 07:00:00;217.0;
145;Dam;2020-09-08;8;2020-09-08 08:00:00;323.0;
146;Dam;2020-09-08;9;2020-09-08 09:00:00;1013.0;
147;Dam;2020-09-08;10;2020-09-08 10:00:00;873.0;
148;Dam;2020-09-08;11;2020-09-08 11:00:00;687.0;
149;Dam;2020-09-08;12;2020-09-08 12:00:00;594.0;
150;Dam;2020-09-08;13;2020-09-08 13:00:00;432.0;
151;Dam;2020-09-08;14;2020-09-08 14:00:00;338.0;
152;Dam;2020-09-08;15;2020-09-08 15:00:00;239.0;
153;Dam;2020-09-08;16;2020-09-08 16:00:00;122.0;
154;Dam;2020-09-08;17;2020-09-08 17:00:00;64.0;
155;Dam;2020-09-08;18;2020-09-08 18:00:00;49.0;
156;Dam;2020-09-08;19;2020-09-08 19:00:00;17.0;
157;Dam;2020-09-08;20;2020-09-08 20:00:00;13.0;
158;Dam;2020-09-08;21;2020-09-08 21:00:00;28.0;
