;stop_name;date;hour;datetime;checkin;checkout
0;Nieuwmarkt;2020-09-01;0;2020-09-01 00:00:00;14.0;
1;Nieuwmarkt;2020-09-01;6;2020-09-01 06:00:00;38.0;
2;Nieuwmarkt;2020-09-01;7;2020-09-01 07:00:00;49.0;
3;Nieuwmarkt;2020-09-01;8;2020-09-01 08:00:00;77.0;
4;Nieuwmarkt;2020-09-01;9;2020-09-01 09:00:00;108.0;
5;Nieuwmarkt;2020-09-01;10;2020-09-01 10:00:00;140.0;
6;Nieuwmarkt;2020-09-01;11;2020-09-01 11:00:00;420.0;
7;Nieuwmarkt;2020-09-01;12;2020-09-01 12:00:00;285.0;
8;Nieuwmarkt;2020-09-01;13;2020-09-01 13:00:00;200.0;
9;Nieuwmarkt;2020-09-01;14;2020-09-01 14:00:00;177.0;
10;Nieuwmarkt;2020-09-01;15;2020-09-01 15:00:00;165.0;
11;Nieuwmarkt;2020-09-01;16;2020-09-01 16:00:00;118.0;
12;Nieuwmarkt;2020-09-01;17;2020-09-01 17:00:00;83.0;
13;Nieuwmarkt;2020-09-01;18;2020-09-01 18:00:00;73.0;
14;Nieuwmarkt;2020-09-01;19;2020-09-01 19:00:00;39.0;
15;Nieuwmarkt;2020-09-01;20;2020-09-01 20:00:00;32.0;
16;Nieuwmarkt;2020-09-01;21;2020-09-01 21:00:00;15.0;
17;Nieuwmarkt;2020-09-01;22;2020-09-01 22:00:00;23.0;
18;Nieuwmarkt;2020-09-01;23;2020-09-01 23:00:00;50.0;
19;Nieuwmarkt;2020-09-02;0;2020-09-02 00:00:00;73.0;
20;Nieuwmarkt;2020-09-02;6;2020-09-02 06:00:00;54.0;
21;Nieuwmarkt;2020-09-02;7;2020-09-02 07:00:00;100.0;
22;Nieuwmarkt;2020-09-02;8;2020-09-02 08:00:00;161.0;
23;Nieuwmarkt;2020-09-02;9;2020-09-02 09:00:00;217.0;
24;Nieuwmarkt;2020-09-02;10;2020-09-02 10:00:00;667.0;
25;Nieuwmarkt;2020-09-02;11;2020-09-02 11:00:00;446.0;
26;Nieuwmarkt;2020-09-02;12;2020-09-02 12:00:00;278.0;
27;Nieuwmarkt;2020-09-02;13;2020-09-02 13:00:00;190.0;
28;Nieuwmarkt;2020-09-02;14;2020-09-02 14:00:00;189.0;
29;Nieuwmarkt;2020-09-02;15;2020-09-02 15:00:00;145.0;
