Day,stringency_index
2020-09-01,50.93
2020-09-02,50.93
2020-09-03,50.93
2020-09-04,50.93
2020-09-05,50.93
2020-09-06,50.93
2020-09-07,50.93
2020-09-08,50.93
2020-09-09,50.93
2020-09-10,50.93
2020-09-11,50.93
2020-09-12,50.93
2020-09-13,50.93
2020-09-14,50.93
2020-09-15,50.93
2020-09-16,50.93
2020-09-17,50.93
2020-09-18,50.93
2020-09-19,50.93
2020-09-20,48.15
2020-09-21,48.15
2020-09-22,48.15
2020-09-23,48.15
2020-09-24,48.15
2020-09-25,48.15
2020-09-26,48.15
2020-09-27,48.15
2020-09-28,48.15
2020-09-29,62.04
2020-09-30,62.04
2020-10-01,62.04
2020-10-02,62.04
2020-10-03,62.04
2020-10-04,62.04
2020-10-05,62.04
2020-10-06,62.04
2020-10-07,62.04
2020-10-08,62.04
2020-10-09,62.04
2020-10-10,62.04
2020-10-11,62.04
2020-10-12,62.04
2020-10-13,62.04
2020-10-14,62.04
2020-10-15,62.04
2020-10-16,62.04
2020-10-17,62.04
2020-10-18,62.04
2020-10-19,62.04
2020-10-20,62.04
2020-10-21,62.04
2020-10-22,62.04
2020-10-23,62.04
2020-10-24,62.04
2020-10-25,62.04
2020-10-26,62.04
2020-10-27,62.04
2020-10-28,62.04
2020-10-29,62.04
2020-10-30,62.04
2020-10-31,62.04
2020-11-01,62.04
2020-11-02,62.04
2020-11-03,62.04
2020-11-04,65.74
2020-11-05,65.74
2020-11-06,65.74
2020-11-07,65.74
2020-11-08,65.74
2020-11-09,65.74
2020-11-10,65.74
2020-11-11,65.74
2020-11-12,65.74
2020-11-13,65.74
2020-11-14,65.74
2020-11-15,65.74
2020-11-16,65.74
2020-11-17,65.74
2020-11-18,65.74
2020-11-19,65.74
2020-11-20,65.74
2020-11-21,65.74
2020-11-22,56.48
2020-11-23,56.48
2020-11-24,56.48
2020-11-25,56.48
2020-11-26,56.48
2020-11-27,56.48
2020-11-28,56.48
2020-11-29,56.48
2020-11-30,56.48
2020-12-01,56.48
2020-12-02,56.48
2020-12-03,56.48
2020-12-04,56.48
2020-12-05,56.48
2020-12-06,56.48
2020-12-07,56.48
2020-12-08,56.48
2020-12-09,56.48
2020-12-10,56.48
2020-12-11,56.48
2020-12-12,56.48
2020-12-13,56.48
2020-12-14,56.48
2020-12-15,71.3
2020-12-16,78.7
2020-12-17,78.7
2020-12-18,78.7
2020-12-19,78.7
2020-12-20,78.7
2020-12-21,78.7
2020-12-22,78.7
2020-12-23,78.7
2020-12-24,78.7
2020-12-25,78.7
2020-12-26,78.7
2020-12-27,78.7
2020-12-28,78.7
2020-12-29,78.7
2020-12-30,78.7
2020-12-31,78.7
2021-01-01,78.7
2021-01-02,78.7
2021-01-03,78.7
2021-01-04,78.7
2021-01-05,78.7
2021-01-06,78.7
2021-01-07,78.7
2021-01-08,78.7
2021-01-09,78.7
2021-01-10,78.7
2021-01-11,78.7
2021-01-12,78.7
2021-01-13,78.7
2021-01-14,78.7
2021-01-15,78.7
2021-01-16,78.7
2021-01-17,78.7
2021-01-18,78.7
2021-01-19,78.7
2021-01-20,78.7
2021-01-21,78.7
