datetime;covid_cases;covid_hospital;covid_deaths
2020/06/01 00:00:00+00;2363;610;274
2020/06/02 00:00:00+00;2364;611;275
2020/06/03 00:00:00+00;2367;611;275
2020/06/04 00:00:00+00;2367;611;275
2020/06/05 00:00:00+00;2367;611;277
2020/06/06 00:00:00+00;2367;611;277
2020/06/07 00:00:00+00;2430;614;277
2020/06/08 00:00:00+00;2447;614;278
2020/06/09 00:00:00+00;2458;614;280
2020/06/10 00:00:00+00;2482;614;280
2020/06/11 00:00:00+00;2498;614;280
2020/06/12 00:00:00+00;2506;615;280
2020/06/13 00:00:00+00;2528;616;280
2020/06/14 00:00:00+00;2539;616;280
2020/06/15 00:00:00+00;2552;616;280
2020/06/16 00:00:00+00;2571;616;280
2020/06/17 00:00:00+00;2582;616;282
2020/06/18 00:00:00+00;2592;618;283
2020/06/19 00:00:00+00;2594;620;283
2020/06/20 00:00:00+00;2602;619;283
2020/06/21 00:00:00+00;2608;619;283
2020/06/22 00:00:00+00;2614;619;283
2020/06/23 00:00:00+00;2623;619;284
2020/06/24 00:00:00+00;2635;619;284
2020/06/25 00:00:00+00;2640;620;284
2020/06/26 00:00:00+00;2650;620;284
2020/06/27 00:00:00+00;2657;620;284
2020/06/28 00:00:00+00;2659;620;284
2020/06/29 00:00:00+00;2666;620;284
2020/06/30 00:00:00+00;2671;620;284
2020/07/01 00:00:00+00;2674;620;284
2020/07/02 00:00:00+00;2678;620;284
2020/07/03 00:00:00+00;2688;620;284
2020/07/04 00:00:00+00;2695;620;284
2020/07/05 00:00:00+00;2701;620;284
2020/07/06 00:00:00+00;2704;620;284
2020/07/07 00:00:00+00;2706;620;284
2020/07/08 00:00:00+00;2712;620;284
2020/07/09 00:00:00+00;2714;620;284
2020/07/10 00:00:00+00;2724;620;284
2020/07/11 00:00:00+00;2729;621;284
2020/07/12 00:00:00+00;2733;621;284
2020/07/13 00:00:00+00;2744;621;284
2020/07/14 00:00:00+00;2749;621;284
2020/07/15 00:00:00+00;2754;621;284
2020/07/16 00:00:00+00;2774;622;284
2020/07/17 00:00:00+00;2790;622;284
2020/07/18 00:00:00+00;2791;620;282
2020/07/19 00:00:00+00;2824;620;282
2020/07/20 00:00:00+00;2852;622;282
2020/07/21 00:00:00+00;2873;623;282
2020/07/22 00:00:00+00;2891;623;282
2020/07/23 00:00:00+00;2906;623;282
2020/07/24 00:00:00+00;2925;625;282
2020/07/25 00:00:00+00;2945;626;282
2020/07/26 00:00:00+00;2973;626;282
2020/07/27 00:00:00+00;3020;626;282
2020/07/28 00:00:00+00;3049;629;282
2020/07/29 00:00:00+00;3076;630;282
2020/07/30 00:00:00+00;3144;631;282
2020/07/31 00:00:00+00;3187;631;282
2020/08/01 00:00:00+00;3248;631;282
2020/08/02 00:00:00+00;3270;632;282
2020/08/03 00:00:00+00;3314;632;282
2020/08/04 00:00:00+00;3449;636;282
2020/08/05 00:00:00+00;3512;636;282
2020/08/06 00:00:00+00;3659;635;282
2020/08/07 00:00:00+00;3733;637;282
2020/08/08 00:00:00+00;3830;639;282
2020/08/09 00:00:00+00;3912;642;282
2020/08/10 00:00:00+00;4089;645;282
2020/08/11 00:00:00+00;4200;646;282
2020/08/12 00:00:00+00;4300;646;282
2020/08/13 00:00:00+00;4369;647;285
2020/08/14 00:00:00+00;4489;648;286
2020/08/15 00:00:00+00;4620;648;286
2020/08/16 00:00:00+00;4717;649;286
2020/08/17 00:00:00+00;4823;650;286
2020/08/18 00:00:00+00;4944;650;288
2020/08/19 00:00:00+00;5037;652;289
2020/08/20 00:00:00+00;5141;653;289
2020/08/21 00:00:00+00;5222;654;289
2020/08/22 00:00:00+00;5271;654;289
2020/08/23 00:00:00+00;5347;654;289
2020/08/24 00:00:00+00;5471;655;290
2020/08/25 00:00:00+00;5559;659;290
2020/08/26 00:00:00+00;5642;662;290
2020/08/27 00:00:00+00;5732;664;290
2020/08/28 00:00:00+00;5813;666;290
2020/08/29 00:00:00+00;5877;666;291
2020/08/30 00:00:00+00;5939;666;291
2020/08/31 00:00:00+00;6046;668;291
2020/09/01 00:00:00+00;6117;668;291
2020/09/02 00:00:00+00;6235;669;292
2020/09/03 00:00:00+00;6309;671;292
2020/09/04 00:00:00+00;6444;671;292
2020/09/05 00:00:00+00;6552;671;292
2020/09/06 00:00:00+00;6684;674;292
2020/09/07 00:00:00+00;6819;675;292
2020/09/08 00:00:00+00;7009;676;292
2020/09/09 00:00:00+00;7141;675;292
2020/09/10 00:00:00+00;7267;683;292
2020/09/11 00:00:00+00;7453;686;293
2020/09/12 00:00:00+00;7619;686;293
2020/09/13 00:00:00+00;7812;692;294
2020/09/14 00:00:00+00;8011;694;294
2020/09/15 00:00:00+00;8260;696;295
2020/09/16 00:00:00+00;8500;699;295
2020/09/17 00:00:00+00;8747;701;295
2020/09/18 00:00:00+00;9109;703;295
2020/09/19 00:00:00+00;9401;709;295
2020/09/20 00:00:00+00;9691;713;296
2020/09/21 00:00:00+00;9962;715;296
2020/09/22 00:00:00+00;10338;720;296
2020/09/23 00:00:00+00;10607;727;296
2020/09/24 00:00:00+00;10858;732;297
2020/09/25 00:00:00+00;11218;740;298
2020/09/26 00:00:00+00;11553;743;298
2020/09/27 00:00:00+00;12018;748;299
2020/09/28 00:00:00+00;12259;754;299
2020/09/29 00:00:00+00;12644;758;300
2020/09/30 00:00:00+00;13021;760;300
2020/10/01 00:00:00+00;13365;766;301
2020/10/02 00:00:00+00;13720;770;301
2020/10/03 00:00:00+00;14094;772;301
