datetime;hotel_gasten;hotel_overnachtingen;airport_tot_passengers;airport_arrived_passengers;airport_departed_passengers
01/01/2020 00:00;614;1216;5074773;2561003;2513770
02/01/2020 00:00;629;1260;4719769;2342660;2377109
03/01/2020 00:00;271;541;2476372;1298133;1178239
04/01/2020 00:00;32;74;126015;70038;55977
05/01/2020 00:00;36;62;207827;109314;98513
06/01/2020 00:00;113;201;471410;229128;242282
07/01/2020 00:00;333;661;1338857;608849;730008
08/01/2020 00:00;393;807;1854786;983983;870803
09/01/2020 00:00;215;413;1337741;684061;653680
10/01/2020 00:00;114;210;1143483;576128;567355
11/01/2020 00:00;106;175;900434;451046;449388
12/01/2020 00:00;104;182;1233043;580297;652746
01/01/2021 00:00;68;117;869129;463793;405336
02/01/2021 00:00;81;136;505194;253143;252051
03/01/2021 00:00;84;138;660176;331608;328568
04/01/2021 00:00;92;154;786652;386810;399842
05/01/2021 00:00;161;264;1106740;552079;554661
06/01/2021 00:00;188;336;1678265;816099;862166
07/01/2021 00:00;332;664;3029951;1378580;1651371
08/01/2021 00:00;402;837;3786973;2002462;1784511
09/01/2021 00:00;393;837;3370205;1718856;1651349
10/01/2021 00:00;534;1112;3745991;1907661;1838330
11/01/2021 00:00;418;779;3095823;1551581;1544242
12/01/2021 00:00;402;792;3622271;1755216;1867055
01/01/2022 00:00;342;667;3252433;1657309;1595124
