 STN,YYYYMMDD,H,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
  240,20200831,    1,  350,   40,   40,   80,  148,     ,   92,    0,    0,    0,    0,10174,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    2,  350,   40,   40,   70,  145,     ,   87,    0,    0,    0,    0,10177,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    3,  360,   30,   30,   50,  138,     ,   81,    0,    0,    0,    0,10179,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    4,   10,   20,   10,   40,  127,     ,   73,    0,    0,    0,    0,10181,   80,    7,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    5,  360,   10,   10,   20,  113,     ,   82,    0,    0,    0,    0,10184,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    6,  310,   20,   20,   20,  120,   68,   90,    0,   12,    0,    0,10187,   70,    7,   81,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    7,  360,   20,   40,   50,  158,     ,  101,    3,   56,    0,    0,10191,   80,    4,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    8,  350,   50,   60,   90,  153,     ,   98,    5,  102,    0,    0,10196,   80,    8,   69,     ,    5,    0,    0,    0,    0,    0
  240,20200831,    9,  360,   60,   50,  100,  165,     ,   92,    9,  152,    0,    0,10200,   83,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   10,  340,   50,   60,   80,  166,     ,   95,    0,  125,    0,    0,10201,   82,    8,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   11,  360,   50,   50,   90,  184,     ,   77,    5,  193,    0,    0,10201,   82,    8,   49,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   12,   30,   50,   50,   80,  173,  104,   86,    7,  241,    0,    0,10204,   81,    8,   56,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   13,   50,   40,   30,   80,  174,     ,   88,    0,  121,    0,    0,10205,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   14,   10,   40,   30,   80,  168,     ,   82,    0,   46,    0,    0,10204,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   15,   20,   30,   20,   60,  172,     ,   87,    0,   81,    0,    0,10203,   83,    8,   57,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   16,  350,   30,   30,   50,  174,     ,   76,    7,  101,    0,    0,10202,   83,    8,   52,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   17,  350,   30,   30,   50,  176,     ,   81,    5,   74,    0,    0,10201,   83,    7,   53,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   18,  320,   40,   30,   60,  146,  133,   75,    8,   44,    0,    0,10205,   83,    4,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   19,  330,   30,   20,   40,  140,     ,   96,    0,    1,    0,    0,10208,   61,    8,   74,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   20,   10,   20,   20,   40,  145,     ,   92,    0,    0,    0,    0,10206,   75,    8,   70,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   21,  360,   20,   10,   30,  132,     ,   91,    0,    0,    0,    0,10209,   75,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   22,    0,   10,    0,   10,  117,     ,   95,    0,    0,    0,    0,10209,   70,    1,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   23,  300,    0,   10,   10,  111,     ,   93,    0,    0,    0,    0,10209,   70,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20200831,   24,    0,   10,    0,   30,  127,   60,  102,    0,    0,    0,    0,10208,   70,    8,   84,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    1,  310,   20,   30,   40,  130,     ,  106,    0,    0,    0,    0,10209,   70,    8,   85,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    2,  300,   40,   30,   50,  129,     ,   93,    0,    0,    0,    0,10207,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    3,  320,   20,   10,   40,  126,     ,   94,    0,    0,    0,    0,10205,   75,    8,   80,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    4,   40,   10,   10,   20,  119,     ,  101,    0,    0,    0,    0,10203,   70,    8,   88,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    5,  110,   10,   10,   20,  123,     ,  102,    0,    0,    0,    0,10201,   70,    8,   86,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    6,  340,   10,   10,   20,  131,   89,  107,    7,   18,    0,    0,10204,   70,    0,   85,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    7,   40,   10,   10,   30,  164,     ,   93,   10,   68,    0,    0,10209,   83,    2,   62,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    8,  360,   10,   20,   50,  170,     ,   91,   10,  124,    0,    0,10207,   82,    1,   59,     ,    5,    0,    0,    0,    0,    0
  240,20200901,    9,  360,   20,   30,   50,  169,     ,   79,    8,  160,    0,    0,10206,   81,    8,   55,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   10,  360,   20,   30,   50,  161,     ,   91,    0,   60,    0,    0,10205,   83,    8,   63,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   11,  350,   40,   30,   50,  159,     ,   99,    0,   31,    0,    0,10204,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   12,   50,   20,   20,   40,  155,   97,  105,    0,   44,    0,    0,10203,   75,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   13,  100,   30,   20,   50,  157,     ,  106,    0,   38,    0,    0,10203,   75,    8,   71,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   14,  350,   10,   20,   30,  165,     ,  100,    0,   46,    0,    0,10200,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   15,  330,   30,   10,   60,  162,     ,  104,    0,   68,    0,    0,10197,   80,    8,   68,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   16,  340,   20,   20,   40,  166,     ,  102,    2,   70,    0,    0,10194,   80,    8,   65,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   17,  340,   20,   30,   40,  158,     ,   98,    3,   49,    0,    0,10192,   80,    8,   67,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   18,  340,   20,   20,   40,  141,  118,  100,    5,   18,    0,    0,10193,   75,    1,   76,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   19,  360,   10,   10,   50,  137,     ,  102,    0,    1,    0,    0,10195,   75,    0,   79,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   20,  330,   10,   10,   60,  125,     ,  100,    0,    0,    0,    0,10197,   70,    0,   84,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   21,  340,   10,   10,   20,  107,     ,   99,    0,    0,    0,    0,10197,   65,    0,   95,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   22,    0,   10,    0,   20,  105,     ,  100,    0,    0,    0,    0,10197,   65,    0,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   23,  320,   10,   20,   30,   99,     ,   93,    0,    0,    0,    0,10197,   64,    0,   96,     ,    5,    0,    0,    0,    0,    0
  240,20200901,   24,    0,   10,    0,   30,   94,   49,   91,    0,    0,    0,    0,10196,   19,    2,   98,   10,    7,    0,    0,    0,    0,    0
  240,20200902,    1,  300,   10,   10,   10,   95,     ,   92,    0,    0,    0,    0,10194,    6,    0,   98,   34,    7,    1,    0,    0,    0,    0
  240,20200902,    2,  990,   10,   10,   20,   93,     ,   90,    0,    0,    0,    0,10191,    7,    0,   98,   32,    7,    1,    0,    0,    0,    0
  240,20200902,    3,  300,   10,   20,   20,   94,     ,   91,    0,    0,    0,    0,10189,   57,    0,   97,   20,    7,    1,    0,    0,    0,    0
  240,20200902,    4,  290,   10,   10,   20,   90,     ,   85,    0,    0,    0,    0,10188,   10,    0,   96,   10,    7,    0,    0,    0,    0,    0
  240,20200902,    5,  300,   10,   20,   20,   91,     ,   86,    0,    0,    0,    0,10188,   65,    0,   97,     ,    5,    0,    0,    0,    0,    0
  240,20200902,    6,    0,   10,    0,   20,  101,   40,   95,    7,   17,    0,    0,10191,   65,    0,   96,    2,    7,    0,    0,    0,    0,    0
  240,20200902,    7,  350,   10,   10,   20,  137,     ,  100,   10,   65,    0,    0,10194,   67,    0,   78,     ,    5,    0,    0,    0,    0,    0
  240,20200902,    8,  990,   10,   10,   30,  173,     ,  100,   10,  116,    0,    0,10196,   80,    0,   62,     ,    5,    0,    0,    0,    0,    0
