gid;geom;objectnummer;soort;voeding;rotatie;actief;privacyverklaring;location_name;width;gebiedstype;gebied;crowd_threshold_low;crowd_threshold_high;
53;0101000020E61000008A01124DA09813409BFCBBE3B9304A40;GVCV-01;2D sensor;Vaste spanning;30;Ja;;CS - ri. NDSM;1;Ferries;IJ-veren;977;1256;
55;0101000020E61000002C30BF2E1E9913404A2AAE85B4304A40;GVCV-04;2D sensor;Eigen voeding via lichtnet;30;Ja;;CS - ri. Buiksloterweg (Oost);1;Ferries;IJ-veren;977;1256;
56;0101000020E61000004E9A0645F3981340A355D22FB6304A40;GVCV-03;2D sensor;Vaste spanning;30;Ja;;CS - ri. Buiksloterweg (West);1;Ferries;IJ-veren;977;1256;
57;0101000020E6100000807F4A95289B1340513D88539C304A40;GVCV-05;2D sensor;Vaste spanning;20;Ja;;CS - ri. IJPlein;1;Ferries;IJ-veren;977;1256;
74;0101000020E6100000E253A5D2F47E1340F0C16B97362E4A40;GAVM-01-Vondelstraat;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;None;1;Park;Vondelpark;;;
78;0101000020E6100000B45E679EB77C134082FFAD64C72D4A40;GAVM-03-VanEeghenstraat;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Van Eeghenstraat;1;Park;Vondelpark;;;
80;0101000020E610000053A74DE66972134092F249DD842D4A40;GAVM-04-Emmalaan;mob 3D sensor;Eigen voeding via lichtnet;0;Nee;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/cmsa-corona-privacy/;Emmalaan;1;Park;Vondelpark;;;
87;0101000020E6100000CBA2B08BA29713402C11A8FE41304A40;GACM-04;3D sensor;;;Ja;;Damrak 1-5;1;Shopping;Winkelgebied centrum;1953;2511;
88;0101000020E61000001F1329CDE69113403881E9B46E2F4A40;GACM-03;3D sensor;;;Ja;;Rokin 66;1;Shopping;Winkelgebied centrum;1890;2430;
90;0101000020E6100000FAB836548CE31340D177B7B244294A40;GABM-01;3D sensor;;;Ja;;Ganzenpoort;1;Shopping;Zuidoost;1152;1584;
91;0101000020E610000019E25817B7D1134002840F255A284A40;GABM-02;3D sensor;;;Ja;;AmsterdamsePoort-RiAntondeKomplein-Oost;1;Shopping;Zuidoost;1872;2574;
92;0101000020E6100000BF4692205CD11340AF40F4A44C284A40;GABM-03;3D sensor;;;Ja;;AmsterdamsePoort-RiAntondeKomplein-West;1;Shopping;Zuidoost;1872;2574;
93;0101000020E61000008D7A884677D01340C47B0E2C47284A40;GABM-04;3D sensor;;;Ja;;AmsterdamsePoort-RiAbcouderpad-Oost;1;Shopping;Zuidoost;1440;1980;
94;0101000020E6100000511212691BCF13401F12BEF737284A40;GABM-05;3D sensor;;;Ja;;AmsterdamsePoort-RiAbcouderpad-West;1;Shopping;Zuidoost;1440;1980;
95;0101000020E61000000458E4D70F911340DAACFA5C6D2F4A40;GACM-01;3D sensor;;;Ja;;Kalverstraat Zuid t.h.v.73;1;Shopping;Winkelgebied centrum;1827;2349;
96;0101000020E610000023DC64541976134035F0A31AF62D4A40;GAVM-06-Kattenlaan;mob 3D sensor;;;Nee;;Kattenlaan;1;Park;Vondelpark;;;
97;0101000020E6100000732B84D558921340569FABADD82F4A40;GACM-02;3D sensor;;;Ja;;Nieuwendijk t.h.v.218;1;Shopping;Winkelgebied centrum;1827;2349;
98;0101000020E6100000B8A2DE9DC6BF134085C7C8A365304A40;GVCV-06;3D sensor;;;Ja;;Azartplein;1;Ferries;IJ-veren;977;1256;
99;0101000020E6100000C031152C1F8B13407B2DE8BD31324A40;GVCV-07;3D sensor;;;Ja;;Pontsteiger N (ri. NDSM);1;Ferries;IJ-veren;977;1256;
100;0101000020E61000009B4A500D458B134071491F042E324A40;GVCV-08;3D sensor;;;Ja;;Pontsteiger Z (ri. Distelweg);1;Ferries;IJ-veren;977;1256;
101;0101000020E6100000DCDEC90281911340838362D0AE2F4A40;GKS-01-Kalverstraat;2D sensor;Eigen voeding via lichtnet;200;Ja;;Kalverstraat t.h.v. 1;1;Shopping;Winkelgebied centrum;1152;1584;
102;0101000020E6100000C2323674B3CF1340F4160FEF39284A40;GABM-06;3D sensor;;;Ja;;AmsterdamsePoort-riAbcouderpad-Roltrappen;;Shopping;Zuidoost;720;990;
103;0101000020E61000000ED76A0F7B91134057B08D78B22F4A40;CMSA-GAKH-01;2D sensor;;200;Ja;https://www.amsterdam.nl/privacy/specifieke/privacyverklaring-parkeren-verkeer-bouw/crowd-monitoring-systeem-amsterdam/;Kalverstraat t.h.v. 1;;Winkelgebied centrum;Shopping;2111;2714;"52.372634; 4.892071"
